tweet,label
Depression is really getting on my nerves. I am having difficult time dealing with it.. No one knows with what m going through. Its getting worse and worse day by day. Waiting for my death to come.,1
dealing with the debts of depression and trying to get back to being ok again,1
i have depression,1
True struggles: -being lonely and also anti-social  -having no friends and also hating all people - wanting to do stuff and also trying to get over depression  -wanting to eat healthy and also too broke to afford it  -hates drinking and also drinks myself to sleep everyday рџ’Ђ,1
help me please. M dying with Depression.,1
cant wait to go home and take a fat ass depression nap,1
fuckin petas got me stressed out. i also gotta deal with high induced depression all day.,1
suffering from depression and anxiety. having suicidal thoughts. #MentalHealthBillKE,1
My depression is horrible right now.,1
Me @ depression  pic.twitter.com/GKN0pbHRbH,1
ik heb fucking 13 a 14 hr sleep thats what depression does to me,1
"A MOFO indeed. The ebb and flow, like the ocean waves hitting your feet as they come crashing in Redondo or Malibu.  a daily struggle for me. Turns into depression & directly effects my life. Add other heartbreaks to the mix & it's a real bitch. Deep sigh.",1
Anyway drawing shit is best cure for me to overcome depression tbfh,1
I haev depression,1
I have a depression case... might have psychological issues thou,1
But i have a lot going for me: i recognize and acknowledge that i have depression.,1
"deep depression, I suffer from severe depression. Death at last.",1
"For some time now I've been questioning what I have to live for, and lateley feeling so tired of fighting. You know,,,like someone very ill who is tired of fighting to hang in there. We can't let our depression or those bigots win.  It's so bloody hard. вќ¤пёЏвќ¤пёЏвќ¤пёЏ",1
me: who gon check me boo?  my depression: hi m here for you,1
"Betting is causing depression, everything is lost and I am too.",1
"I'd have to disagree a bit with this one. During a real depression you DO stop loving the things you love, but it isn't the only result. Real depression causes you to stop loving Everything INCLUDING yourself. Real depression is painful physically & mentally. It is the worst pain i have ever came across.  https://twitter.com/ohteenquotes/status/1104972334937432066В вЂ¦",1
"The depression is actually getting a little better. Anxiety- not as much.  Anyways, this is the welcome back I give you, even if you don't remember who i am.",1
"Then there was exams, my brother, my family, myself. Everything kinda worsened my depression+anxiety and everything else.",1
depression ssksksksk,1
"I had to leave a job I loved because the company changed the way of working so drastically, it led to my anxiety and depression being triggered to crisis point.",1
lolololololol lololololololololol lololololol i have depression lolololoвЂ” oh,1
"It's a terrible situation and make me depressed. I'm sorry that you have to pay for this, I'm sorry to the POC had to pay in the past. I wish humans would just get along. I can't even have a fucking meal a restaurant with people checking out my dark wife and light kid with shocked expressions",1
Everyday. It's a loop of depression.,1
"don't know why, but lately i've been hit by a lot of nostalgic depression. It hurts.",1
From depreciation to depression,1
Depression is like living in a body that fights to survive with a mind that tries to die.,1
"yeah, the pain's gone, im just in the depression fog and dont really know what to do with myself.",1
"at first i used to think anxiety, depression etc.. was a joke but now, m going through that too, and you definitely neeвЂ¦ вЂ” Mental health will never be a joke, and I'm sorry you had to experience that to realize that. ¦  https://curiouscat.me/freakincaro/post/813148561?t=1552379538В вЂ¦",1
"No need to apologise. You don't owe us twitter-twats anything and you take whatever time you need.  I'm a long term depression sufferer - if it helps to vent at all, my DM box is always open for you. I won't promise to say the right things but I'll have a level of understanding.",1
"RT @DanielsVictor7: Someone help me pls, suffering from depression and anxiety",1
Depression fucking sucks,1
"I guess I'm sharing this, because it's easy for others to say things will get better, it's hard to believe when you become consumed by depression. But today things are a little  better than the last 5 weeks put together.",1
@ brain pls let me sleep before I end up overthinking and spiraling into a hole of self-doubt and depression,1
"Exactly. The fact that I literally have no social life because I refuse to go out downtown and drink has 120% made my depression worse since I'm then stuck at home, alone, with my thoughts day in and day out",1
my shoes have wheels because the depression doesn't stop,1
I'm like the king of depression - @AshyPrime,1
"Been fighting depression for so many years now,  so this hit close to home. I used to be the type who tried to stay strong, hide the pain and take on the problems on my own. It just made it worse, only when i reached out for help from others i could start getting up.",1
"wow, depression killing me now.",1
That 5am depression pack hitting kinda hard right now has drained my will to live in 2019.,1
"Why do you have to make it abrupt? But anyway, whatever the questions that're bothering me it will not be answered anymore, NEVER. You don't have any idea what pain, depression and self pitying I've gone thru thinking the WHYs, WHENs, HOWs, and WHAT IFs of your decisions.",1
trying to accept myself and beat this depression. #MentalHealthBillKE,1
4 am depression time  pic.twitter.com/0FzqqVdX8y,1
"Depressed ""Depressed"" ""Depressed"" ""Depressed"" ""Depressed"" ""Depressed""  ""People thinkВ depressionВ is sadness, crying or dressing in black. But people are wrong.В DepressionВ is the constant feeling of being numb. You wake up in the morning just to go back to bed again.""",1
"I didn't think my depression was ""that bad"" until I unironically said ""Lana Del Rey's discography isn't sad enough""",1
once I get over my seasonal depression it is over for you hoes,1
My depression got really bad once and it caused me to lose my appetite for a little over a year. I lost a lot (and I mean A LOT) of weight. I got my appetite back though and when I began to gained my anxiety kicked in and I started doing anything I could to get lose it again :(,1
How I hate depression because of the pain it causes me but at the same time I still love it because of the realization it hits me.,1
For me I think it starts with disappointment ~ over thinking~ frustrations~ stress ~ depression ~ then CONCLUSIONS that you're worthless no one cares and then boom... #MentalHealthBillKE,1
"My ability to learn is extracted from my body and dumped into the ocean of school works, depression, stress and expectations. I feel like I'm a shell of my former self.",1
"I always feel like it seems so fake to talk about my depression since it's seasonal, unlike clinical depression, but I just have to remember that the people who really matter to me will understand how fucking hard it is to live with any kind of depression, no matter what",1
Take me outta depression..,1
Depression is one of the worst conditions to have. Can never let you be happy. It controls your life. It makes you feel like nothing. When will it leave me alone,1
A similar thing happened to me when I was suffering major depression. Due to the fact that I might be well one day they would only give me sickness benefit for 6 weeks. Having to prove I was still ill was so stressful I nearly had a breakdown.,1
I wish I could beat depression how I beat my meat,1
Struggling with depression is a bitch,1
"I sometimes cry myself to sleep because, at night I get really low and depression.",1
I have cut off a lot of people for that but my friend turnover is really high now because of cutting off people and getting new friends. Depression is peak and im just tired now. I just want a bestie to reciprocate my energy and I'll be good.,1
"i cant stop my suicidal thoughts, depression, sadness, stress, emptiness. Want to kill myself.",1
"You see, the phrase ""everything happens for a reason"" really is true. One year ago today, depression and suicide ruled my life, inside and out. Despite the fact that I'd managed to hide my depression from family and friends, it is now known and it is getting better.",1
"I struggle letting myself ""feel out"" depression a lot. But when I do I always end up feeling myself let go of things I'm stressing over and it helps a lot. I hope that you guys are able to let yourself go sometimes. Let yourself cry and lay in bed. Sometimes we need it to feel ok",1
I was sitting in solitude. Depression came and kissed me. And my anxiety made sure that it would never leave me.,1
Some nights I don't sleep the depression gets da best of me рџ�©,1
"Ngh, please don't spread your cold to us... Just depression is already a problem for me, so...",1
Depression is annoying because no matter what happens I'm always gonna want to die.Ќ,1
Oooooof. That depression is a mother fucker when you sink into it. Pain . Cancer is a cunt. в™ҐпёЏ,1
